Participante,Fase,Auto-amabilidad,Humanidad_comun,Mindfulness,Auto-juicio,Aislamiento,Sobre-identificacion,Puntaje_global
Part1,FASE 2 PRE,4.0,2.5,3.75,4.0,3.75,3.5,3.58
Part2,FASE 2 PRE,3.4,4.5,3.75,1.4,2.0,2.0,2.84
Part3,FASE 2 PRE,4.2,3.5,3.25,1.6,2.75,1.25,2.76
Part4,FASE 2 PRE,2.2,3.0,3.25,3.0,3.25,3.0,2.95
Part1,FASE 2 POST,4.0,3.0,4.0,3.2,4.5,4.0,3.78
Part2,FASE 2 POST,3.4,3.5,3.0,1.0,3.5,2.75,2.86
Part3,FASE 2 POST,3.2,3.5,3.5,1.8,3.0,2.75,2.96
Part4,FASE 2 POST,3.2,2.75,2.75,3.0,2.5,3.0,2.87
